100
50
66,6667
50
60
50
42,8571
50
44,4444
40
36,3636
41,6667
38,4615
35,7143
40
37,5
35,2941
33,3333
36,8421
35
33,3333
31,8182
34,7826
33,3333
32
30,7692
33,3333
32,1429
31,0345
30
32,2581
31,25
30,303
29,4118
28,5714
30,5556
29,7297
28,9474
28,2051
30
29,2683
28,5714
27,907
27,2727
28,8889
28,2609
27,6596
27,0833
28,5714
28
27,451
26,9231
26,4151
27,7778
27,2727
26,7857
26,3158
27,5862
27,1186
26,6667
26,2295
25,8065
26,9841
26,5625
26,1538
25,7576
25,3731
26,4706
26,087
25,7143
25,3521
25
26,0274
25,6757
25,3333
25
24,6753
25,641
25,3165
25
24,6914
24,3902
25,3012
25
24,7059
24,4186
24,1379
25
24,7191
24,4444
24,1758
23,913
24,7312
24,4681
24,2105
23,9583
23,7113
24,4898
24,2424
24
23,7624
23,5294
24,2718
24,0385
23,8095
23,5849
23,3645
23,1481
23,8532
23,6364
23,4234
23,2143
23,0088
23,6842
23,4783
23,2759
23,0769
22,8814
23,5294
23,3333
23,1405
22,9508
22,7642
23,3871
23,2
23,0159
22,8346
22,6562
22,4806
23,0769
22,9008
22,7273
22,5564
22,3881
22,963
22,7941
22,6277
22,4638
22,3022
22,1429
22,695
22,5352
22,3776
22,2222
22,069
22,6027
22,449
22,2973
22,1477
22
21,8543
22,3684
22,2222
22,0779
21,9355
21,7949
22,293
22,1519
22,0126
21,875
21,7391
21,6049
22,0859
21,9512
21,8182
21,6867
21,5569
22,0238
21,8935
21,7647
21,6374
21,5116
21,3873
21,8391
21,7143
21,5909
21,4689
21,3483
21,2291
21,6667
21,547
21,4286
21,3115
21,1957
21,6216
21,5054
21,3904
21,2766
21,164
21,0526
21,466
21,3542
21,2435
21,134
21,0256
20,9184
21,3198
21,2121
21,1055
21
20,8955
21,2871
21,1823
21,0784
20,9756
20,8738
20,7729
21,1538
21,0526
20,9524
20,8531
20,7547
20,6573
21,028
20,9302
20,8333
20,7373
20,6422
20,5479
20,9091
20,8145
20,7207
20,6278
20,5357
20,4444
20,7965
20,7048
20,614
20,524
20,4348
20,7792
