,,,120,80,"2,16E+166"
,,,121,79,"3,47E+164"
,,,122,78,"5,45E+162"
,,,123,77,"8,37E+160"
,,,124,76,"1,26E+159"
,,,125,75,"1,85E+157"
,,,126,74,"2,68E+155"
,,,127,73,"3,78E+153"
,,,128,72,"5,24E+151"
,,,129,71,"7,11E+149"
,,,130,70,"9,46E+147"
,,,131,69,"1,24E+146"
,,,132,68,"1,58E+144"
,,,133,67,"1,99E+142"
,,,134,66,"2,45E+140"
,,,135,65,"2,96E+138"
,,,136,64,"3,52E+136"
,,,137,63,"4,11E+134"
,,,138,62,"4,70E+132"
,,,139,61,"5,30E+130"
,,,140,60,"5,86E+128"
,,,141,59,"6,37E+126"
,,,142,58,"6,80E+124"
,,,143,57,"7,15E+122"
,,,144,56,"7,38E+120"
,,,145,55,"7,50E+118"
,,,146,54,"7,50E+116"
,,,147,53,"7,38E+114"
,,,148,52,"7,14E+112"
,,,149,51,"6,80E+110"
,,,150,50,"6,38E+108"
,,,151,49,"5,89E+106"
,,,152,48,"5,35E+104"
,,,153,47,"4,79E+102"
,,,154,46,"4,23E+100"
,,,155,45,"3,67E+98"
,,,156,44,"3,14E+96"
,,,157,43,"2,65E+94"
,,,158,42,"2,21E+92"
,,,159,41,"1,81E+90"
,,,160,40,"1,46E+88"
,,,161,39,"1,16E+86"
,,,162,38,"9,15E+83"
,,,163,37,"7,09E+81"
,,,164,36,"5,42E+79"
,,,165,35,"4,09E+77"
,,,166,34,"3,05E+75"
,,,167,33,"2,24E+73"
,,,168,32,"1,62E+71"
,,,169,31,"1,16E+69"
,,,170,30,"8,19E+66"
,,,171,29,"5,71E+64"
,,,172,28,"3,93E+62"
,,,173,27,"2,67E+60"
,,,174,26,"1,80E+58"
,,,175,25,"1,19E+56"
,,,176,24,"7,80E+53"
,,,177,23,"5,05E+51"
,,,178,22,"3,23E+49"
,,,179,21,"2,04E+47"
,,,180,20,"1,27E+45"
,,,181,19,"7,87E+42"
,,,182,18,"4,80E+40"
,,,183,17,"2,90E+38"
,,,184,16,"1,73E+36"
,,,185,15,"1,02E+34"
,,,186,14,"5,93E+31"
,,,187,13,"3,42E+29"
,,,188,12,"1,95E+27"
,,,189,11,"1,10E+25"
,,,190,10,"6,13E+22"
,,,191,9,"3,38E+20"
,,,192,8,"1,85E+18"
,,,193,7,"9,97E+15"
,,,194,6,"5,33E+13"
,,,195,5,"2,82E+11"
,,,196,4,"1,48E+09"
,,,197,3,"7,65E+06"
,,,198,2,"3,92E+04"
,,,199,1,"1,99E+02"
